code,pop_2013,pop_2018,evol_pop_pct
QP001001,6056.0,6490.0,7.166446499339507
QP001002,1830.0,1926.0,5.245901639344264
QP001003,1807.0,1620.0,-10.3486441615938
QP001004,1378.0,1173.0,-14.876632801161104
QP001005,1677.0,1568.0,-6.499701848539052
QP001006,4467.0,4876.0,9.156033131855823
QP001007,1034.0,1064.0,2.9013539651837617
QP001008,1012.0,927.0,-8.399209486166004
QP001009,1092.0,1033.0,-5.402930402930406
QP002001,6059.0,6034.0,-0.41260934147548944
QP002002,2763.0,2427.0,-12.160694896851254
QP002003,1705.0,1511.0,-11.378299120234603
QP002004,1750.0,1751.0,0.05714285714286671
QP002005,1606.0,1314.0,-18.181818181818176
QP002006,994.0,958.0,-3.621730382293764
QP002007,1311.0,1218.0,-7.093821510297483
QP002008,1315.0,1186.0,-9.809885931558938
QP002009,1823.0,1852.0,1.5907844212835975
QP002010,1376.0,1461.0,6.177325581395343
QP002011,4396.0,4136.0,-5.914467697907188
QP002012,2275.0,2081.0,-8.527472527472524
QP002013,5519.0,5766.0,4.475448450806296
QP002014,1035.0,1238.0,19.61352657004831
QP002015,1318.0,1080.0,-18.05766312594841
QP002016,1168.0,1085.0,-7.106164383561642
QP002017,1769.0,1969.0,11.305822498586782
QP003001,3887.0,3706.0,-4.65654746591202
QP003002,1681.0,1706.0,1.487209994051164
QP003003,3414.0,3607.0,5.653192735793788
QP003004,2841.0,2648.0,-6.793382611756426
QP003005,1234.0,1174.0,-4.862236628849271
QP003006,1323.0,621.0,-53.06122448979591
QP004001,2100.0,2350.0,11.904761904761907
QP004002,3427.0,2825.0,-17.566384592938434
QP004003,2062.0,1894.0,-8.147429679922402
QP005001,1441.0,1316.0,-8.67453157529493
QP006001,1328.0,1081.0,-18.599397590361445
QP006002,3347.0,3501.0,4.60113534508515
QP006003,4029.0,4743.0,17.721518987341778
QP006004,2009.0,2054.0,2.2399203583872485
QP006005,6984.0,6806.0,-2.5486827033218806
QP006006,1407.0,1326.0,-5.756929637526653
QP006007,1555.0,1610.0,3.536977491961424
QP006008,2001.0,2132.0,6.5467266366816546
QP006009,1008.0,1019.0,1.0912698412698374
QP006010,7795.0,7325.0,-6.029506093649772
QP006011,1281.0,864.0,-32.55269320843092
QP006012,3859.0,3441.0,-10.831821715470324
QP006013,11919.0,12919.0,8.389965601141025
QP006014,10217.0,11800.0,15.493784868356663
QP006015,1731.0,1608.0,-7.105719237435004
QP006016,1958.0,1573.0,-19.66292134831461
QP007001,1776.0,2081.0,17.17342342342343
QP007002,1178.0,1126.0,-4.414261460101865
QP007003,1124.0,1206.0,7.295373665480431
QP007004,1822.0,2019.0,10.812294182217341
QP007005,1249.0,1210.0,-3.122497998398721
QP008001,2450.0,2313.0,-5.591836734693878
QP008002,7463.0,6169.0,-17.338871767385765
QP008003,2020.0,1991.0,-1.435643564356437
QP008004,1840.0,1988.0,8.043478260869573
QP008005,1247.0,1129.0,-9.462710505212513
QP008006,1113.0,1049.0,-5.750224618149147
QP008007,5027.0,4243.0,-15.595782773025658
QP008008,1287.0,1259.0,-2.175602175602176
QP009001,1177.0,1203.0,2.2090059473236945
QP009002,1236.0,1151.0,-6.877022653721687
QP009003,4291.0,3853.0,-10.207410859939403
QP010001,1430.0,1238.0,-13.42657342657343
QP010002,2951.0,2810.0,-4.7780413419179935
QP010003,7736.0,7289.0,-5.778179937952432
QP010004,1684.0,1410.0,-16.270783847980997
QP010005,1461.0,1571.0,7.5290896646132754
QP010006,4020.0,4147.0,3.159203980099501
QP010007,1695.0,1808.0,6.666666666666665
QP010008,1387.0,1512.0,9.012256669069929
QP010009,1189.0,1218.0,2.4390243902439046
QP010010,1668.0,1567.0,-6.055155875299755
QP011001,2050.0,2001.0,-2.3902439024390265
QP011002,2060.0,2525.0,22.572815533980584
QP011003,1862.0,1757.0,-5.6390977443609
QP011004,3775.0,3873.0,2.5960264900662278
QP011005,1050.0,1159.0,10.38095238095238
QP011006,1084.0,949.0,-12.45387453874539
QP011007,4031.0,3434.0,-14.81022078888613
QP011008,4661.0,5241.0,12.443681613387692
QP011009,1692.0,1736.0,2.6004728132387633
QP011010,2993.0,3059.0,2.2051453391246145
QP012001,1540.0,1535.0,-0.32467532467532756
QP012002,2091.0,1955.0,-6.504065040650408
QP013001,945.0,930.0,-1.5873015873015928
QP013002,1080.0,1056.0,-2.2222222222222254
QP013003,2019.0,1904.0,-5.695889053987124
QP013004,1226.0,1224.0,-0.16313213703099683
QP013005,2887.0,3044.0,5.438171111880852
QP013006,1029.0,1009.0,-1.9436345966958202
QP013007,1403.0,1419.0,1.1404133998574428
QP013008,960.0,883.0,-8.020833333333332
QP013009,2043.0,1810.0,-11.40479686735193
QP013010,2438.0,2104.0,-13.69975389663659
QP013011,4171.0,4102.0,-1.6542795492687556
QP013012,2545.0,2248.0,-11.669941060903732
QP013013,3733.0,4509.0,20.78757031877847
QP013014,6900.0,6019.0,-12.76811594202899
QP013015,1312.0,1146.0,-12.652439024390238
QP013016,4642.0,4232.0,-8.832399827660486
QP013017,1173.0,1041.0,-11.253196930946297
QP013018,6505.0,6341.0,-2.5211375864719443
QP013019,1162.0,1144.0,-1.5490533562822706
QP013020,2207.0,2269.0,2.809243316719523
QP013021,1430.0,1420.0,-0.6993006993006978
QP013022,1875.0,1807.0,-3.626666666666667
QP013023,1798.0,1809.0,0.6117908787541815
QP013024,2353.0,2359.0,0.2549936251593721
QP013025,4008.0,3633.0,-9.3562874251497
QP013026,1081.0,995.0,-7.955596669750231
QP013027,1087.0,1012.0,-6.899724011039554
QP013028,1961.0,2006.0,2.294747577766443
QP013029,3648.0,3455.0,-5.290570175438591
QP013030,1567.0,1669.0,6.509253350350996
QP013031,6094.0,5647.0,-7.3350836888743
QP013032,97048.0,104302.0,7.474651718737113
QP013033,1889.0,1838.0,-2.6998411858126015
QP013034,2110.0,2254.0,6.824644549763037
QP013035,1418.0,1466.0,3.3850493653032387
QP013036,1041.0,1399.0,34.39000960614793
QP013037,1528.0,1500.0,-1.832460732984298
QP013038,5932.0,5538.0,-6.641942009440327
QP013039,2016.0,1814.0,-10.019841269841267
QP013040,2732.0,2460.0,-9.956076134699854
QP013041,1093.0,1251.0,14.455626715462033
QP013042,10439.0,9843.0,-5.709359134016667
QP013043,2122.0,2153.0,1.4608859566446641
QP013044,8777.0,9333.0,6.334738521134775
QP013045,1428.0,1589.0,11.274509803921573
QP013046,1256.0,1289.0,2.6273885350318382
QP013047,882.0,843.0,-4.4217687074829986
QP013048,3123.0,2669.0,-14.537303874479669
QP013049,24803.0,23286.0,-6.1161956214974005
QP013050,3556.0,3409.0,-4.133858267716539
QP013051,10040.0,9109.0,-9.27290836653386
QP013052,4456.0,4531.0,1.6831238779174251
QP013053,4692.0,5444.0,16.027280477408357
QP013054,1660.0,1886.0,13.61445783132531
QP013055,8191.0,7648.0,-6.629227200586008
QP013056,2602.0,944.0,-63.72021521906226
QP013057,2262.0,2342.0,3.536693191865603
QP013058,14231.0,12476.0,-12.332232450284586
QP013059,1814.0,1876.0,3.4178610804851184
QP013060,1788.0,1562.0,-12.639821029082777
QP013061,3048.0,2894.0,-5.052493438320205
QP013062,1623.0,1734.0,6.839186691312382
QP013063,5769.0,5451.0,-5.512220488819553
QP013064,1982.0,2264.0,14.228052472250251
QP013065,1758.0,1611.0,-8.361774744027306
QP014001,4125.0,4383.0,6.254545454545446
QP014002,3908.0,4099.0,4.887410440122819
QP014003,4138.0,4429.0,7.032382793620107
QP014004,2159.0,1877.0,-13.06160259379342
QP014005,1532.0,1451.0,-5.287206266318534
QP014006,1330.0,1356.0,1.9548872180451093
QP014007,8624.0,9495.0,10.099721706864573
QP014008,1343.0,922.0,-31.347728965003718
QP014009,3522.0,3422.0,-2.8392958546280544
QP015001,1218.0,1016.0,-16.58456486042693
QP016001,3539.0,3171.0,-10.398417632099466
QP016002,1923.0,1978.0,2.860114404576186
QP016003,2543.0,2295.0,-9.752261108926463
QP016004,1291.0,1320.0,2.2463206816421444
QP016005,3286.0,3863.0,17.559342665855148
QP016006,1898.0,1850.0,-2.5289778714436273
QP017001,6123.0,5708.0,-6.777723338232889
QP017002,5642.0,4801.0,-14.906061680255235
QP017003,2087.0,2168.0,3.8811691423095374
QP017004,2362.0,2345.0,-0.7197290431837478
QP017005,1106.0,995.0,-10.036166365280286
QP017006,1207.0,1213.0,0.4971002485501197
QP017007,1606.0,1562.0,-2.73972602739726
QP018001,9503.0,8420.0,-11.396401136483213
QP018002,2465.0,2536.0,2.8803245436105573
QP018003,1578.0,1361.0,-13.751584283903673
QP018004,4581.0,4005.0,-12.573673870333991
QP019001,1144.0,1450.0,26.74825174825175
QP019002,2912.0,2668.0,-8.379120879120883
QP019003,1714.0,1652.0,-3.617269544924151
QP021001,1665.0,1477.0,-11.291291291291294
QP021002,4887.0,5037.0,3.0693677102516803
QP021003,7466.0,6952.0,-6.88454326279132
QP021004,4333.0,4180.0,-3.5310408492960965
QP021005,1192.0,1134.0,-4.865771812080533
QP021006,2576.0,3219.0,24.961180124223592
QP022001,993.0,937.0,-5.6394763343403875
QP022002,932.0,995.0,6.759656652360513
QP022003,998.0,799.0,-19.93987975951904
QP022004,1632.0,1767.0,8.272058823529417
QP022005,4128.0,4241.0,2.737403100775193
QP022006,1183.0,990.0,-16.314454775993237
QP022007,1208.0,1086.0,-10.099337748344372
QP023001,1892.0,2004.0,5.919661733615222
QP024001,1775.0,1528.0,-13.915492957746478
QP024002,2655.0,2470.0,-6.9679849340866244
QP024003,1133.0,1108.0,-2.206531332744921
QP024004,1192.0,1055.0,-11.493288590604022
QP024005,1474.0,1474.0,0.0
QP025001,996.0,1142.0,14.658634538152615
QP025002,1137.0,360.0,-68.33773087071239
QP025003,2938.0,3126.0,6.398910823689574
QP025004,15286.0,15378.0,0.6018579091979559
QP025005,1919.0,1674.0,-12.767066180302244
QP025006,1600.0,1428.0,-10.750000000000004
QP025007,1840.0,1732.0,-5.869565217391304
QP025008,2907.0,2575.0,-11.420708634330923
QP025009,1191.0,1222.0,2.602854743912686
QP025010,2186.0,2166.0,-0.9149130832570851
QP025011,7413.0,7069.0,-4.64049642519897
QP025012,1630.0,1412.0,-13.374233128834357
QP025013,2270.0,2587.0,13.964757709251096
QP026001,2314.0,1906.0,-17.631806395851335
QP026002,2404.0,2450.0,1.9134775374376023
QP026003,1531.0,1584.0,3.4617896799477466
QP026004,2718.0,3051.0,12.25165562913908
QP026005,3797.0,3072.0,-19.094021595996836
QP026006,2189.0,2042.0,-6.715395157606208
QP026007,8439.0,8262.0,-2.09740490579452
QP026008,1534.0,1289.0,-15.97131681877445
QP026009,1195.0,1263.0,5.690376569037658
QP026010,3237.0,2818.0,-12.944084028421376
QP026011,1628.0,1499.0,-7.923832923832919
QP026012,926.0,994.0,7.343412526997839
QP027001,3587.0,3095.0,-13.716197379425699
QP027002,988.0,851.0,-13.866396761133604
QP027003,10501.0,9449.0,-10.018093514903349
QP027004,2356.0,2151.0,-8.701188455008491
QP027005,1403.0,1204.0,-14.18389166072701
QP027006,1049.0,1269.0,20.972354623450904
QP027007,1362.0,1491.0,9.471365638766516
QP027008,7168.0,7003.0,-2.30189732142857
QP027009,1359.0,1344.0,-1.103752759381893
QP027010,1402.0,1313.0,-6.348074179743223
QP027011,1297.0,1349.0,4.009252120277562
QP028001,1078.0,1088.0,0.927643784786647
QP028002,2553.0,2118.0,-17.03877790834313
QP028003,1934.0,1880.0,-2.792140641158225
QP028004,2168.0,2095.0,-3.367158671586712
QP028005,2310.0,2342.0,1.3852813852813783
QP028006,4927.0,4584.0,-6.961639943170283
QP028007,1289.0,981.0,-23.894491854150502
QP028008,6485.0,6215.0,-4.1634541249036205
QP028009,2728.0,2904.0,6.451612903225801
QP028010,1628.0,1153.0,-29.176904176904173
QP029001,1229.0,1096.0,-10.821806346623275
QP029002,3792.0,3480.0,-8.227848101265822
QP029003,1205.0,1240.0,2.9045643153526868
QP029004,7357.0,7120.0,-3.2214217751801
QP029005,2040.0,2008.0,-1.5686274509803977
QP029006,1168.0,1210.0,3.595890410958913
QP029007,2408.0,2702.0,12.209302325581394
QP029008,1930.0,1652.0,-14.404145077720209
QP029009,1444.0,1214.0,-15.927977839335183
QP02A001,1012.0,797.0,-21.245059288537547
QP02A002,1808.0,1927.0,6.581858407079655
QP02A003,1025.0,950.0,-7.317073170731703
QP02B001,7310.0,8144.0,11.409028727770188
QP02B002,3122.0,3344.0,7.110826393337599
QP030001,14621.0,14036.0,-4.0010943163942265
QP030002,1134.0,984.0,-13.227513227513231
QP030003,15597.0,16389.0,5.077899596076163
QP030004,6862.0,6837.0,-0.364325269600696
QP030005,7264.0,7159.0,-1.4454845814978023
QP030006,3014.0,3167.0,5.076310550763097
QP030007,1722.0,1866.0,8.362369337979093
QP030008,3374.0,3395.0,0.6224066390041472
QP030009,3272.0,3280.0,0.24449877750611915
QP030010,4006.0,3463.0,-13.554667998003001
QP030011,1353.0,1277.0,-5.617147080561713
QP030012,1941.0,1586.0,-18.289541473467285
QP030013,4374.0,4763.0,8.893461362597165
QP030014,1234.0,1133.0,-8.184764991896277
QP030015,2734.0,2522.0,-7.754206291148503
QP030016,2421.0,2422.0,0.04130524576622108
QP030017,1012.0,806.0,-20.35573122529645
QP030018,1261.0,1293.0,2.5376685170499513
QP031001,2938.0,3183.0,8.339006126616756
QP031002,1948.0,1867.0,-4.158110882956878
QP031003,1357.0,1530.0,12.74871039056742
QP031004,1613.0,1810.0,12.21326720396776
QP031005,3011.0,2906.0,-3.4872135503155044
QP031006,1962.0,2018.0,2.854230377166167
QP031007,31691.0,32291.0,1.8932820043545462
QP031008,2127.0,2083.0,-2.0686412787964237
QP031009,1169.0,1381.0,18.135158254918736
QP031010,5502.0,5955.0,8.233369683751368
QP031011,2747.0,3440.0,25.227520931925728
QP031012,1549.0,1504.0,-2.905100064557775
QP031013,1288.0,1400.0,8.695652173913038
QP031014,2021.0,2062.0,2.028698664027706
QP031015,3311.0,2295.0,-30.68559347629115
QP031016,1168.0,1246.0,6.678082191780832
QP031017,1059.0,1007.0,-4.910292728989618
QP031018,1014.0,1054.0,3.9447731755424043
QP031019,1162.0,1036.0,-10.843373493975905
QP032001,1939.0,2358.0,21.609076843733877
QP033001,1111.0,1141.0,2.7002700270027047
QP033002,1543.0,1392.0,-9.78613091380428
QP033003,1250.0,1415.0,13.199999999999989
QP033004,2206.0,2438.0,10.516772438803269
QP033005,1148.0,1108.0,-3.484320557491294
QP033006,1892.0,2249.0,18.868921775898517
QP033007,3634.0,3565.0,-1.898734177215189
QP033008,11637.0,11547.0,-0.7733952049497339
QP033009,3208.0,3370.0,5.049875311720697
QP033010,4246.0,4278.0,0.7536504945831357
QP033011,1543.0,1584.0,2.657161373946848
QP033012,10228.0,10522.0,2.8744622604614856
QP033013,1936.0,1851.0,-4.390495867768596
QP033014,2640.0,2977.0,12.76515151515152
QP033015,957.0,1000.0,4.493207941483801
QP033016,3201.0,3245.0,1.3745704467353903
QP033017,3590.0,3771.0,5.041782729805022
QP033018,3940.0,3813.0,-3.2233502538071113
QP033019,1108.0,1003.0,-9.476534296028882
QP033020,2998.0,3338.0,11.340893929286189
QP033021,3120.0,3562.0,14.16666666666666
QP033022,3143.0,2999.0,-4.581609926821506
QP033023,1008.0,1105.0,9.623015873015884
QP034001,19054.0,19472.0,2.1937650886952875
QP034002,2832.0,3124.0,10.310734463276837
QP034003,4605.0,3947.0,-14.288816503800216
QP034004,1420.0,1339.0,-5.70422535211268
QP034005,21652.0,21817.0,0.7620543136892755
QP034006,5756.0,5697.0,-1.0250173731758183
QP034007,3245.0,3478.0,7.180277349768871
QP034008,5578.0,6060.0,8.641089996414486
QP034009,1324.0,1264.0,-4.53172205438066
QP034010,3419.0,2923.0,-14.507165837964319
QP034011,1245.0,1193.0,-4.17670682730924
QP034012,4458.0,4700.0,5.4284432480933065
QP034013,1198.0,1165.0,-2.7545909849749584
QP034014,1095.0,1417.0,29.406392694063932
QP034015,2012.0,2147.0,6.709741550695836
QP034016,1231.0,1098.0,-10.80422420796101
QP034017,3794.0,3493.0,-7.933579335793361
QP034018,4340.0,4137.0,-4.677419354838708
QP034019,3177.0,3341.0,5.1621026125275415
QP034020,1955.0,1761.0,-9.923273657289
QP034021,5726.0,6503.0,13.569682151589246
QP034022,3021.0,3018.0,-0.09930486593843213
QP035001,3583.0,3562.0,-0.586101032654196
QP035002,8963.0,8883.0,-0.8925582952136524
QP035003,5061.0,5271.0,4.149377593361003
QP035004,6443.0,6206.0,-3.6784106782554726
QP035005,11281.0,11550.0,2.3845403776260987
QP035006,1275.0,1317.0,3.294117647058825
QP035007,1152.0,766.0,-33.50694444444444
QP036001,1634.0,1669.0,2.141982864137093
QP036002,4877.0,4343.0,-10.949354111133891
QP036003,1597.0,1503.0,-5.886036318096433
QP036004,1484.0,1442.0,-2.8301886792452824
QP037001,1095.0,1039.0,-5.1141552511415505
QP037002,6218.0,6087.0,-2.1067867481505353
QP037003,1932.0,2037.0,5.434782608695654
QP037004,5286.0,5114.0,-3.253878168747637
QP037005,3008.0,2820.0,-6.25
QP037006,1078.0,958.0,-11.131725417439709
QP037007,2546.0,2989.0,17.399842890809115
QP037008,2696.0,2787.0,3.3753709198813153
QP037009,8783.0,7815.0,-11.021291130593191
QP037010,2018.0,2122.0,5.153617443012881
QP037011,1773.0,2027.0,14.326001128031596
QP037012,1629.0,1455.0,-10.68139963167587
QP038001,2785.0,2785.0,0.0
QP038002,940.0,1197.0,27.340425531914892
QP038003,5635.0,5764.0,2.2892635314995635
QP038004,1707.0,1792.0,4.979496192149968
QP038005,2036.0,1892.0,-7.072691552062871
QP038006,2893.0,2186.0,-24.43829934324231
QP038007,12304.0,11708.0,-4.843953185955785
QP038008,6629.0,7003.0,5.641876602805862
QP038009,1507.0,1478.0,-1.9243530192435299
QP038010,1834.0,1711.0,-6.706652126499457
QP038011,2473.0,2432.0,-1.657905378083302
QP038012,1226.0,1066.0,-13.050570962479613
QP038013,2145.0,2025.0,-5.594405594405593
QP038014,2937.0,3045.0,3.6772216547497516
QP038015,2357.0,2554.0,8.358082308018666
QP038016,2061.0,2106.0,2.183406113537112
QP038017,1168.0,1071.0,-8.304794520547942
QP038018,1094.0,1036.0,-5.301645338208405
QP038019,1417.0,1368.0,-3.4580098800282233
QP038020,1083.0,1150.0,6.186518928901208
QP038021,1253.0,1206.0,-3.750997605746209
QP038022,1182.0,1114.0,-5.752961082910324
QP038023,2107.0,2025.0,-3.891789273849078
QP038024,2641.0,2669.0,1.0602044680045442
QP038025,1572.0,1597.0,1.5903307888040619
QP038026,1672.0,1714.0,2.511961722488043
QP039001,2696.0,3025.0,12.20326409495549
QP039002,3580.0,3754.0,4.8603351955307295
QP039003,1322.0,1067.0,-19.28895612708018
QP039004,975.0,772.0,-20.820512820512814
QP040001,1283.0,1223.0,-4.6765393608729555
QP040002,1229.0,1238.0,0.7323026851098424
QP040003,1233.0,1341.0,8.75912408759123
QP040004,2405.0,2787.0,15.883575883575872
QP040005,1381.0,1295.0,-6.227371469949317
QP041001,10703.0,10843.0,1.3080444735120933
QP041002,3202.0,3038.0,-5.121798875702687
QP041003,1348.0,1279.0,-5.118694362017806
QP042001,1257.0,1110.0,-11.694510739856801
QP042002,3168.0,2983.0,-5.839646464646464
QP042003,1259.0,1236.0,-1.8268467037331204
QP042004,1108.0,833.0,-24.819494584837543
QP042005,1450.0,1429.0,-1.4482758620689706
QP042006,2416.0,2187.0,-9.47847682119205
QP042007,1186.0,1255.0,5.817875210792578
QP042008,2111.0,1918.0,-9.142586451918522
QP042009,2942.0,2607.0,-11.38681169272604
QP042010,1156.0,899.0,-22.231833910034602
QP042011,3174.0,3050.0,-3.906742281033393
QP042012,7606.0,7771.0,2.169339994741004
QP042013,7324.0,6294.0,-14.063353358820319
QP042014,5174.0,5067.0,-2.0680324700425246
QP042015,2243.0,1259.0,-43.86981720909496
QP042016,1882.0,1394.0,-25.929861849096703
QP042017,1972.0,1669.0,-15.36511156186613
QP042018,1538.0,1190.0,-22.62678803641093
QP042019,872.0,938.0,7.568807339449535
QP043001,1371.0,1191.0,-13.12910284463895
QP043002,1122.0,1426.0,27.09447415329769
QP044001,6735.0,7072.0,5.003711952487011
QP044002,1008.0,1027.0,1.8849206349206282
QP044003,1109.0,1090.0,-1.7132551848512145
QP044004,1309.0,1325.0,1.2223071046600475
QP044005,16918.0,16290.0,-3.712022697718409
QP044006,5075.0,5375.0,5.9113300492610765
QP044007,3575.0,3917.0,9.566433566433563
QP044008,5166.0,5628.0,8.943089430894302
QP044009,1927.0,1657.0,-14.011416709911783
QP044010,1733.0,1713.0,-1.1540680900173128
QP044011,1275.0,1615.0,26.66666666666666
QP044012,1164.0,1428.0,22.68041237113403
QP044013,3130.0,3486.0,11.373801916932912
QP044014,5207.0,5757.0,10.562704052237383
QP044015,1437.0,1492.0,3.82741823242867
QP044016,1100.0,1089.0,-1.0000000000000009
QP044017,1689.0,1523.0,-9.828300769686205
QP044018,2967.0,2785.0,-6.134142231209971
QP044019,1539.0,1097.0,-28.71994801819363
QP045001,984.0,1040.0,5.691056910569103
QP045002,1193.0,1060.0,-11.14836546521375
QP045003,3913.0,4487.0,14.66905187835421
QP045004,3009.0,3453.0,14.755732801595212
QP045005,1969.0,1732.0,-12.036566785170134
QP045006,1720.0,1687.0,-1.9186046511627919
QP045007,2010.0,1950.0,-2.985074626865669
QP045008,1166.0,1088.0,-6.689536878216118
QP045009,1337.0,1573.0,17.651458489154813
QP045010,11261.0,11284.0,0.20424473847793223
QP045011,7972.0,7471.0,-6.28449573507276
QP045012,1514.0,1452.0,-4.095112285336855
QP045013,1223.0,1243.0,1.6353229762878119
QP045014,2479.0,2291.0,-7.583703106091166
QP045015,1384.0,1391.0,0.5057803468208055
QP045016,1676.0,1360.0,-18.85441527446301
QP045017,1515.0,1430.0,-5.610561056105611
QP045018,1450.0,1438.0,-0.8275862068965467
QP045019,1157.0,1149.0,-0.691443388072599
QP046001,1036.0,1372.0,32.432432432432435
QP047001,1963.0,2158.0,9.933774834437092
QP047002,1860.0,1627.0,-12.526881720430104
QP047003,1482.0,1360.0,-8.232118758434549
QP047004,1118.0,1176.0,5.187835420393561
QP047005,2520.0,2312.0,-8.253968253968258
QP047006,1697.0,1530.0,-9.840895698291096
QP047007,1084.0,1188.0,9.594095940959413
QP049001,6236.0,6013.0,-3.5760102629890933
QP049002,8904.0,9589.0,7.693171608265947
QP049003,1375.0,1079.0,-21.527272727272727
QP049004,2642.0,2517.0,-4.731264193792583
QP049005,7402.0,7212.0,-2.566873817887061
QP049006,1450.0,1236.0,-14.758620689655178
QP049007,2286.0,2587.0,13.167104111986006
QP049008,2169.0,1959.0,-9.681881051175656
QP049009,1510.0,1785.0,18.21192052980132
QP049010,1970.0,2136.0,8.426395939086294
QP049011,1973.0,1966.0,-0.3547896604156109
QP049012,2086.0,2181.0,4.554170661553214
QP049013,3486.0,3591.0,3.0120481927710774
QP050001,1222.0,1162.0,-4.909983633387894
QP050002,1853.0,1928.0,4.04749055585536
QP050003,1601.0,1436.0,-10.30605871330419
QP050004,1467.0,1318.0,-10.156782549420583
QP050005,6672.0,6288.0,-5.755395683453235
QP050006,1754.0,1510.0,-13.91106043329533
QP050007,1429.0,1335.0,-6.57802659202239
QP051001,3622.0,3619.0,-0.0828271673108727
QP051002,3157.0,2829.0,-10.389610389610393
QP051003,11833.0,12005.0,1.453562072171044
QP051004,11836.0,12297.0,3.8948969246366927
QP051005,4789.0,4691.0,-2.0463562330340412
QP051006,2515.0,2540.0,0.994035785288272
QP051007,1191.0,907.0,-23.845507976490342
QP051008,1237.0,1269.0,2.5869037995149613
QP051009,1651.0,1596.0,-3.331314354936399
